year_joined.bucket,tenure,mean_prop
"(2004,2009]",1825,0.588761646
"(2004,2009]",1826,0.437009175
"(2004,2009]",1827,0.46686316
"(2004,2009]",1828,0.550278164
"(2004,2009]",1829,0.48823104
"(2004,2009]",1830,0.562498609
"(2004,2009]",1831,0.418224573
"(2004,2009]",1832,0.423675618
"(2004,2009]",1833,0.437636132
"(2004,2009]",1834,0.471245972
"(2004,2009]",1835,0.393747033
"(2004,2009]",1836,0.320885135
"(2004,2009]",1837,0.488492014
"(2004,2009]",1838,0.532458853
"(2004,2009]",1839,0.472016369
"(2004,2009]",1840,0.338641562
"(2004,2009]",1841,0.485602163
"(2004,2009]",1842,0.498692399
"(2004,2009]",1843,0.404551834
"(2004,2009]",1844,0.435907702
"(2004,2009]",1845,0.309689933
"(2004,2009]",1846,0.486804178
"(2004,2009]",1847,0.620731476
"(2004,2009]",1848,0.3461779
"(2004,2009]",1849,0.441308777
"(2004,2009]",1850,0.515225145
"(2004,2009]",1851,0.342823028
"(2004,2009]",1852,0.560068931
"(2004,2009]",1853,0.495295275
"(2004,2009]",1854,0.461279865
"(2004,2009]",1855,0.404447947
"(2004,2009]",1856,0.413348211
"(2004,2009]",1857,0.41950119
"(2004,2009]",1858,0.443275818
"(2004,2009]",1859,0.396511084
"(2004,2009]",1860,0.480510049
"(2004,2009]",1861,0.533251525
"(2004,2009]",1862,0.521189029
"(2004,2009]",1863,0.463340562
"(2004,2009]",1864,0.55044234
"(2004,2009]",1865,0.616040779
"(2004,2009]",1866,0.428865099
"(2004,2009]",1867,0.365025482
"(2004,2009]",1868,0.55318382
"(2004,2009]",1869,0.448865105
"(2004,2009]",1870,0.566066821
"(2004,2009]",1871,0.406716963
"(2004,2009]",1872,0.607215314
"(2004,2009]",1873,0.395623852
"(2004,2009]",1874,0.365306924
"(2004,2009]",1875,0.539698813
"(2004,2009]",1876,0.410658317
"(2004,2009]",1877,0.374900099
"(2004,2009]",1878,0.491707934
"(2004,2009]",1879,0.428815795
"(2004,2009]",1880,0.492393343
"(2004,2009]",1881,0.450225051
"(2004,2009]",1882,0.506386303
"(2004,2009]",1883,0.448143929
"(2004,2009]",1884,0.548513074
"(2004,2009]",1885,0.434793044
"(2004,2009]",1886,0.264561606
"(2004,2009]",1887,0.484438635
"(2004,2009]",1888,0.541537595
"(2004,2009]",1889,0.595890411
"(2004,2009]",1890,0.556176039
"(2004,2009]",1891,0.51490914
"(2004,2009]",1892,0.490268969
"(2004,2009]",1893,0.514388674
"(2004,2009]",1894,0.503811225
"(2004,2009]",1895,0.454265261
"(2004,2009]",1896,0.424669868
"(2004,2009]",1897,0.267001907
"(2004,2009]",1898,0.407504022
"(2004,2009]",1899,0.374433519
"(2004,2009]",1900,0.558493503
"(2004,2009]",1901,0.394873206
"(2004,2009]",1902,0.383121268
"(2004,2009]",1903,0.45
"(2004,2009]",1904,0.293333333
"(2004,2009]",1905,0.436917272
"(2004,2009]",1906,0.449494268
"(2004,2009]",1907,0.348481157
"(2004,2009]",1908,0.471536975
"(2004,2009]",1909,0.250055094
"(2004,2009]",1910,0.595566186
"(2004,2009]",1911,0.403078606
"(2004,2009]",1912,0.527586913
"(2004,2009]",1913,0.502385858
"(2004,2009]",1914,0.427308097
"(2004,2009]",1915,0.473889471
"(2004,2009]",1916,0.305583127
"(2004,2009]",1917,0.533742331
"(2004,2009]",1918,0.535243642
"(2004,2009]",1919,0.431847297
"(2004,2009]",1920,0.420960462
"(2004,2009]",1921,0.393859468
"(2004,2009]",1922,0.397333466
"(2004,2009]",1923,0.426624607
"(2004,2009]",1924,0.453401766
"(2004,2009]",1925,0.572103387
"(2004,2009]",1926,0.361685032
"(2004,2009]",1927,0.483499936
"(2004,2009]",1928,0.477472014
"(2004,2009]",1929,0.201597237
"(2004,2009]",1930,0.422660983
"(2004,2009]",1931,0.51635514
"(2004,2009]",1932,0.474323581
"(2004,2009]",1933,0.489413507
"(2004,2009]",1934,0.391300238
"(2004,2009]",1935,0.427587435
"(2004,2009]",1936,0.372839249
"(2004,2009]",1937,0.404106926
"(2004,2009]",1938,0.466635928
"(2004,2009]",1939,0.349460041
"(2004,2009]",1940,0.44089128
"(2004,2009]",1941,0.437460635
"(2004,2009]",1942,0.429544601
"(2004,2009]",1943,0.463874082
"(2004,2009]",1944,0.394855581
"(2004,2009]",1945,0.6662017
"(2004,2009]",1946,0.485191562
"(2004,2009]",1947,0.483610757
"(2004,2009]",1948,0.485786846
"(2004,2009]",1949,0.523962442
"(2004,2009]",1950,0.298162741
"(2004,2009]",1951,0.395627576
"(2004,2009]",1952,0.43941736
"(2004,2009]",1953,0.572751829
"(2004,2009]",1954,0.493567373
"(2004,2009]",1955,0.295399516
"(2004,2009]",1956,0.422694308
"(2004,2009]",1957,0.533286371
"(2004,2009]",1958,0.625975367
"(2004,2009]",1959,0.611064725
"(2004,2009]",1960,0.584618751
"(2004,2009]",1961,0.450970911
"(2004,2009]",1962,0.443379945
"(2004,2009]",1963,0.478706299
"(2004,2009]",1964,0.375826404
"(2004,2009]",1965,0.480519481
"(2004,2009]",1966,0.397849462
"(2004,2009]",1967,0.469848053
"(2004,2009]",1968,0.597210392
"(2004,2009]",1969,0.508392485
"(2004,2009]",1970,0.61348948
"(2004,2009]",1971,0.602687003
"(2004,2009]",1972,0.240648154
"(2004,2009]",1973,0.532934132
"(2004,2009]",1974,0.381505743
"(2004,2009]",1975,0.331142637
"(2004,2009]",1976,0.438749639
"(2004,2009]",1977,0.481971594
"(2004,2009]",1978,0.539107723
"(2004,2009]",1979,0.457176421
"(2004,2009]",1980,0.447075728
"(2004,2009]",1981,0.386587935
"(2004,2009]",1982,0.407241379
"(2004,2009]",1983,0.518388426
"(2004,2009]",1984,0.416756959
"(2004,2009]",1985,0.577833589
"(2004,2009]",1986,0.551610957
"(2004,2009]",1987,0.457160532
"(2004,2009]",1988,0.443998076
"(2004,2009]",1989,0.393014385
"(2004,2009]",1990,0.341859739
"(2004,2009]",1991,0.492661499
"(2004,2009]",1992,0.569716938
"(2004,2009]",1993,0.436084045
"(2004,2009]",1994,0.263577701
"(2004,2009]",1996,0.525063809
"(2004,2009]",1997,0.459044123
"(2004,2009]",1998,0.378099873
"(2004,2009]",1999,0.534040086
"(2004,2009]",2000,0.500650194
"(2004,2009]",2001,0.642857143
"(2004,2009]",2003,0.477774159
"(2004,2009]",2004,0.5736956
"(2004,2009]",2005,0.574558439
"(2004,2009]",2006,0.6811858
"(2004,2009]",2007,0.445589889
"(2004,2009]",2008,0.484683152
"(2004,2009]",2009,0.475457457
"(2004,2009]",2010,0.522364476
"(2004,2009]",2011,0.529537928
"(2004,2009]",2012,0.49989009
"(2004,2009]",2013,0.439160141
"(2004,2009]",2014,0.30786052
"(2004,2009]",2015,0.4125
"(2004,2009]",2016,0.574202908
"(2004,2009]",2017,0.300043529
"(2004,2009]",2018,0.504130439
"(2004,2009]",2019,0.532960841
"(2004,2009]",2020,0.543515419
"(2004,2009]",2021,0.56097561
"(2004,2009]",2022,0.559594124
"(2004,2009]",2023,0.501233219
"(2004,2009]",2024,0.336283186
"(2004,2009]",2025,0.448502186
"(2004,2009]",2026,0.50993563
"(2004,2009]",2027,0.538588378
"(2004,2009]",2028,0.41778105
"(2004,2009]",2029,0.621050688
"(2004,2009]",2030,0.594609298
"(2004,2009]",2031,0.521166753
"(2004,2009]",2032,0.316455696
"(2004,2009]",2033,0.41723281
"(2004,2009]",2034,0.637819846
"(2004,2009]",2035,0.421955675
"(2004,2009]",2036,0.272892886
"(2004,2009]",2037,0.457765668
"(2004,2009]",2039,0.6663508
"(2004,2009]",2040,0.469354603
"(2004,2009]",2041,0.461391664
"(2004,2009]",2042,0.529167609
"(2004,2009]",2043,0.481418984
"(2004,2009]",2044,0.536585366
"(2004,2009]",2045,0.602998427
"(2004,2009]",2046,0.481556039
"(2004,2009]",2047,0.511391804
"(2004,2009]",2048,0.322258475
"(2004,2009]",2049,0.50677422
"(2004,2009]",2050,0.495128842
"(2004,2009]",2051,0.353581368
"(2004,2009]",2052,0.500972307
"(2004,2009]",2053,0.76119403
"(2004,2009]",2054,0.487813585
"(2004,2009]",2055,0.702420547
"(2004,2009]",2056,0.624257209
"(2004,2009]",2057,0.371196755
"(2004,2009]",2058,0.517702618
"(2004,2009]",2059,0.166421208
"(2004,2009]",2060,0.593899522
"(2004,2009]",2061,0.33745067
"(2004,2009]",2062,0.844155844
"(2004,2009]",2063,0.569897178
"(2004,2009]",2064,0.636232619
"(2004,2009]",2065,0.480480806
"(2004,2009]",2066,0.481882909
"(2004,2009]",2067,0.508447554
"(2004,2009]",2068,0.50698981
"(2004,2009]",2069,0.548635653
"(2004,2009]",2071,0.408395154
"(2004,2009]",2072,0.405071569
"(2004,2009]",2074,0.51566685
"(2004,2009]",2075,0.519474359
"(2004,2009]",2076,0.401403258
"(2004,2009]",2077,0.412489438
"(2004,2009]",2078,0.353528389
"(2004,2009]",2079,0.435507246
"(2004,2009]",2080,0.55107701
"(2004,2009]",2081,0.346596338
"(2004,2009]",2082,0.272727273
"(2004,2009]",2083,0.398013139
"(2004,2009]",2084,0.51444139
"(2004,2009]",2085,0.443819233
"(2004,2009]",2086,0.475609756
"(2004,2009]",2087,0.281030918
"(2004,2009]",2088,0.599285354
"(2004,2009]",2089,0.45833907
"(2004,2009]",2090,0.501049269
"(2004,2009]",2091,0.657142857
"(2004,2009]",2092,0.285643239
"(2004,2009]",2093,0.572155417
"(2004,2009]",2094,0.221321849
"(2004,2009]",2096,0.388580256
"(2004,2009]",2097,0.276705653
"(2004,2009]",2098,0.490416711
"(2004,2009]",2100,0.456730917
"(2004,2009]",2101,0.48213087
"(2004,2009]",2102,0.324503311
"(2004,2009]",2103,0.378835449
"(2004,2009]",2104,0.395652174
"(2004,2009]",2105,0.379431991
"(2004,2009]",2106,0.3657289
"(2004,2009]",2107,0.404379735
"(2004,2009]",2108,0.53848076
"(2004,2009]",2109,0.279069767
"(2004,2009]",2110,0.553544495
"(2004,2009]",2111,0.63376307
"(2004,2009]",2112,0.613688317
"(2004,2009]",2114,0.505537737
"(2004,2009]",2115,0.270833333
"(2004,2009]",2116,0.846666667
"(2004,2009]",2117,0.411985019
"(2004,2009]",2118,0.542602678
"(2004,2009]",2119,0.445097483
"(2004,2009]",2120,0.475814536
"(2004,2009]",2121,0.359756098
"(2004,2009]",2122,0.294469992
"(2004,2009]",2123,0.461758302
"(2004,2009]",2124,0.339674433
"(2004,2009]",2125,0.466666667
"(2004,2009]",2126,0.418683967
"(2004,2009]",2127,0.457452429
"(2004,2009]",2128,0.397634503
"(2004,2009]",2129,0.450753187
"(2004,2009]",2130,0.425802838
"(2004,2009]",2131,0.560241882
"(2004,2009]",2132,0.447269727
"(2004,2009]",2133,0.566574644
"(2004,2009]",2134,0.305785124
"(2004,2009]",2135,0.500079527
"(2004,2009]",2136,0.44394482
"(2004,2009]",2137,0.429365962
"(2004,2009]",2138,0.50057973
"(2004,2009]",2139,0.559226933
"(2004,2009]",2140,0.546558704
"(2004,2009]",2141,0.462195122
"(2004,2009]",2142,0.400434918
"(2004,2009]",2143,0.418439716
"(2004,2009]",2144,0.541446033
"(2004,2009]",2145,0.490124089
"(2004,2009]",2146,0.476923077
"(2004,2009]",2147,0.546875
"(2004,2009]",2148,0.531426829
"(2004,2009]",2149,0.565453409
"(2004,2009]",2150,0.420454545
"(2004,2009]",2151,0.706744868
"(2004,2009]",2152,0.580645161
"(2004,2009]",2154,0.552335223
"(2004,2009]",2155,0.258435627
"(2004,2009]",2156,0.395438841
"(2004,2009]",2157,0.667673168
"(2004,2009]",2158,0.432494279
"(2004,2009]",2159,0.507597783
"(2004,2009]",2160,0.451496115
"(2004,2009]",2161,0.73650635
"(2004,2009]",2162,0.426850508
"(2004,2009]",2163,0.462503974
"(2004,2009]",2164,0.358974359
"(2004,2009]",2165,0.34362018
"(2004,2009]",2166,0.500543065
"(2004,2009]",2167,0.867875648
"(2004,2009]",2168,0.402653345
"(2004,2009]",2169,0.484294638
"(2004,2009]",2170,0.494050348
"(2004,2009]",2171,0.265009016
"(2004,2009]",2172,0.656135531
"(2004,2009]",2173,0.529324853
"(2004,2009]",2174,0.528517489
"(2004,2009]",2175,0.451150635
"(2004,2009]",2177,0.452217628
"(2004,2009]",2178,0.56267739
"(2004,2009]",2179,0.359481378
"(2004,2009]",2180,0.223827276
"(2004,2009]",2181,0.303609655
"(2004,2009]",2182,0.46165056
"(2004,2009]",2184,0.528475059
"(2004,2009]",2185,0.466631839
"(2004,2009]",2186,0.698893073
"(2004,2009]",2187,0.440677966
"(2004,2009]",2188,0.495483427
"(2004,2009]",2189,0.175675676
"(2004,2009]",2190,0.531632233
"(2004,2009]",2191,0.274737168
"(2004,2009]",2192,0.494020806
"(2004,2009]",2193,0.299319728
"(2004,2009]",2194,0.480647845
"(2004,2009]",2195,0.328643579
"(2004,2009]",2196,0.60440367
"(2004,2009]",2197,0.596207607
"(2004,2009]",2198,0.497716786
"(2004,2009]",2199,0.36031746
"(2004,2009]",2200,0.391621837
"(2004,2009]",2202,0.456226912
"(2004,2009]",2203,0.497027172
"(2004,2009]",2204,0.43537415
"(2004,2009]",2205,0.362292372
"(2004,2009]",2206,0.397889905
"(2004,2009]",2207,0.67438161
"(2004,2009]",2208,0.486863506
"(2004,2009]",2209,0.458825325
"(2004,2009]",2210,0.720976805
"(2004,2009]",2211,0.531839624
"(2004,2009]",2213,0.432291667
"(2004,2009]",2214,0.442093111
"(2004,2009]",2215,0.511899542
"(2004,2009]",2216,0.567205882
"(2004,2009]",2217,0.417674065
"(2004,2009]",2218,0.602022094
"(2004,2009]",2219,0.317024606
"(2004,2009]",2220,0.313065327
"(2004,2009]",2221,0.51194903
"(2004,2009]",2222,0.407565594
"(2004,2009]",2223,0.51843499
"(2004,2009]",2224,0.484873502
"(2004,2009]",2225,0.41420765
"(2004,2009]",2226,0.414764761
"(2004,2009]",2227,0.40159915
"(2004,2009]",2228,0.495364583
"(2004,2009]",2229,0.486986625
"(2004,2009]",2230,0.366377566
"(2004,2009]",2231,0.464042498
"(2004,2009]",2232,0.453667954
"(2004,2009]",2233,0.431669539
"(2004,2009]",2234,0.401356429
"(2004,2009]",2235,0.553055944
"(2004,2009]",2237,0.428071492
"(2004,2009]",2238,0.643033078
"(2004,2009]",2239,0.556043956
"(2004,2009]",2240,0.639344262
"(2004,2009]",2241,0.288126579
"(2004,2009]",2242,0.487046632
"(2004,2009]",2243,0.578033441
"(2004,2009]",2244,0.355007384
"(2004,2009]",2245,0.513266998
"(2004,2009]",2246,0.565400844
"(2004,2009]",2247,0.668420081
"(2004,2009]",2248,0.5411382
"(2004,2009]",2249,0.75865757
"(2004,2009]",2251,0.573015171
"(2004,2009]",2252,0.489823474
"(2004,2009]",2254,0.532547326
"(2004,2009]",2255,0.603437194
"(2004,2009]",2256,0.721595796
"(2004,2009]",2257,0.481716622
"(2004,2009]",2258,0.668098399
"(2004,2009]",2259,0.569510993
"(2004,2009]",2260,0.496927821
"(2004,2009]",2261,0.380714462
"(2004,2009]",2262,0.530503979
"(2004,2009]",2264,0.574458733
"(2004,2009]",2265,0.402777778
"(2004,2009]",2266,0.435481019
"(2004,2009]",2267,0.511248852
"(2004,2009]",2268,0.571496354
"(2004,2009]",2269,0.518226029
"(2004,2009]",2270,0.307692308
"(2004,2009]",2271,0.49238377
"(2004,2009]",2272,0.557377049
"(2004,2009]",2273,0.471266281
"(2004,2009]",2276,0.477891906
"(2004,2009]",2277,0.692445717
"(2004,2009]",2278,0.528560745
"(2004,2009]",2279,0.465051218
"(2004,2009]",2280,0.646427558
"(2004,2009]",2281,0.251772738
"(2004,2009]",2282,0.255921409
"(2004,2009]",2283,0.339326216
"(2004,2009]",2284,0.489795918
"(2004,2009]",2285,0.384552494
"(2004,2009]",2286,0.615218594
"(2004,2009]",2287,0.458505057
"(2004,2009]",2288,0.603566372
"(2004,2009]",2289,0.42216285
"(2004,2009]",2290,0.520036836
"(2004,2009]",2291,0.497674419
"(2004,2009]",2292,0.323529412
"(2004,2009]",2293,0.421216107
"(2004,2009]",2294,0.192488263
"(2004,2009]",2295,0.448014568
"(2004,2009]",2296,0.392607221
"(2004,2009]",2297,0.267488965
"(2004,2009]",2298,0.551943066
"(2004,2009]",2300,0.560153466
"(2004,2009]",2301,0.375353923
"(2004,2009]",2302,0.781976744
"(2004,2009]",2303,0.28201135
"(2004,2009]",2304,0.359764017
"(2004,2009]",2305,0.440989497
"(2004,2009]",2306,0.46607003
"(2004,2009]",2307,0.545454545
"(2004,2009]",2308,0.45272525
"(2004,2009]",2309,0.676968864
"(2004,2009]",2310,0.425732235
"(2004,2009]",2311,0.580247279
"(2004,2009]",2312,0.463488199
"(2004,2009]",2313,0.488730114
"(2004,2009]",2314,0.523057644
"(2004,2009]",2315,0.4694782
"(2004,2009]",2316,0.725274725
"(2004,2009]",2317,0.393548387
"(2004,2009]",2318,0.309493938
"(2004,2009]",2319,0.435767955
"(2004,2009]",2321,0.557338023
"(2004,2009]",2322,0.545588235
"(2004,2009]",2323,0.296591709
"(2004,2009]",2324,0.296551724
"(2004,2009]",2325,0.50548796
"(2004,2009]",2326,0.342455079
"(2004,2009]",2327,0.405479452
"(2004,2009]",2328,0.559625467
"(2004,2009]",2329,0.429899838
"(2004,2009]",2330,0.355963806
"(2004,2009]",2331,0.323578919
"(2004,2009]",2332,0.348915989
"(2004,2009]",2333,0.479778532
"(2004,2009]",2334,0.584810127
"(2004,2009]",2335,0.361951987
"(2004,2009]",2337,0.660796326
"(2004,2009]",2338,0.477349347
"(2004,2009]",2339,0.434732501
"(2004,2009]",2340,0.357958438
"(2004,2009]",2341,0.326856525
"(2004,2009]",2342,0.326716059
"(2004,2009]",2344,0.341463415
"(2004,2009]",2345,0.684729064
"(2004,2009]",2346,0.316831683
"(2004,2009]",2348,0.383419689
"(2004,2009]",2349,0.512820513
"(2004,2009]",2350,0.546119393
"(2004,2009]",2351,0.454212454
"(2004,2009]",2352,0.561466819
"(2004,2009]",2353,0.394464364
"(2004,2009]",2355,0.562962963
"(2004,2009]",2356,0.172979351
"(2004,2009]",2360,0.801293568
"(2004,2009]",2361,0.490440918
"(2004,2009]",2362,0.277356446
"(2004,2009]",2363,0.753004005
"(2004,2009]",2366,0.491444867
"(2004,2009]",2367,0.450171821
"(2004,2009]",2368,0.525611539
"(2004,2009]",2370,0.475743349
"(2004,2009]",2371,0.485
"(2004,2009]",2372,0.746268657
"(2004,2009]",2373,0.750761539
"(2004,2009]",2374,0.363636364
"(2004,2009]",2375,0.461538462
"(2004,2009]",2376,0.616301037
"(2004,2009]",2377,0.276243094
"(2004,2009]",2379,0.09375
"(2004,2009]",2381,0.294642857
"(2004,2009]",2382,0.195402299
"(2004,2009]",2387,0.327380952
"(2004,2009]",2388,0.315384615
"(2004,2009]",2389,0.470789868
"(2004,2009]",2390,0.304063861
"(2004,2009]",2391,0.66295118
"(2004,2009]",2392,0.516908213
"(2004,2009]",2394,0.197530864
"(2004,2009]",2395,0.544217687
"(2004,2009]",2396,0.430869343
"(2004,2009]",2397,0.395671275
"(2004,2009]",2398,0.380195685
"(2004,2009]",2399,0.576135568
"(2004,2009]",2400,0.703496503
"(2004,2009]",2401,0.557377049
"(2004,2009]",2406,0.15625
"(2004,2009]",2408,0.611271676
"(2004,2009]",2409,0.529411765
"(2004,2009]",2410,0.572035941
"(2004,2009]",2411,0.43129771
"(2004,2009]",2413,0.367088608
"(2004,2009]",2416,0.303142655
"(2004,2009]",2417,0.387301892
"(2004,2009]",2418,0.531209323
"(2004,2009]",2420,0.528850049
"(2004,2009]",2425,0.533898305
"(2004,2009]",2426,0.225296443
"(2004,2009]",2427,0.463687151
"(2004,2009]",2428,0.053097345
"(2004,2009]",2430,0.627272727
"(2004,2009]",2431,0.510458669
"(2004,2009]",2432,0.414285714
"(2004,2009]",2437,0.452460366
"(2004,2009]",2438,0.378947368
"(2004,2009]",2443,0.555299539
"(2004,2009]",2449,0.576923077
"(2004,2009]",2454,0.397212544
"(2004,2009]",2459,0.478559177
"(2004,2009]",2461,0.629476807
"(2004,2009]",2469,0.536926148
"(2004,2009]",2473,0.559916055
"(2004,2009]",2478,0.3828125
"(2004,2009]",2479,0.5
"(2004,2009]",2480,0.166666667
"(2004,2009]",2483,0.487253628
"(2004,2009]",2484,0.552941176
"(2004,2009]",2485,0.216216216
"(2004,2009]",2488,0.521148036
"(2004,2009]",2489,0.296370529
"(2004,2009]",2493,0.265060241
"(2004,2009]",2506,0.241883117
"(2004,2009]",2521,0.64516129
"(2004,2009]",2530,0.270114943
"(2004,2009]",2544,0.464821223
"(2004,2009]",2550,0.498305085
"(2004,2009]",2577,0.39488117
"(2004,2009]",2591,0.29218107
"(2004,2009]",2592,0.736434109
"(2004,2009]",2594,0.527777778
"(2004,2009]",2595,0.671232877
"(2004,2009]",2626,0.487414188
"(2004,2009]",2630,0.588558856
"(2004,2009]",2641,0.49375
"(2004,2009]",2654,0.374077977
"(2004,2009]",2697,0.671532847
"(2004,2009]",2712,0.233463035
"(2004,2009]",2716,0.659949622
"(2004,2009]",2788,0.57591623
"(2004,2009]",2822,0.026711185
"(2004,2009]",2888,0.425581395
"(2004,2009]",2926,0.458333333
"(2004,2009]",2958,0.437086093
"(2004,2009]",3019,0.65129683
"(2004,2009]",3101,0.426975945
